id_pagador,qtd_boletos,media_atraso,atraso_maximo,taxa_atraso,valor_total,ticket_medio,id_cnpj,cd_cnae_prin,uf,sacado_indice_liquidez_1m,cedente_indice_liquidez_1m,score_materialidade_evolucao,media_atraso_dias,indicador_liquidez_quantitativo_3m,share_vl_inad_pag_bol_6_a_15d,score_quantidade_v2,score_materialidade_v2
0185e7d737e5d895caf9d0e27a0ce37c61bb65077b67d65eb0074648d4b7cf12,1,0.0,0.0,0.0,1730.32,1730.32,0185e7d737e5d895caf9d0e27a0ce37c61bb65077b67d65eb0074648d4b7cf12,2099199.0,SP,730968000000000.0,8530000000000000.0,958.0,23846875.0,970.0,756.0,980.0,988.0
01a2b0bfbd69c5381967d007c3b9742b152fae4375a599a2a133f2adfcd6a177,1,0.0,0.0,0.0,1116.76,1116.76,,,,,,,,,,,
01ae8ec89f423c810a0c33c8ad9cd3d099407aa905f4ac0eb90f8b8606b30274,1,4.0,4.0,1.0,2015.08,2015.08,,,,,,,,,,,
01c7e60771002b8c157ab3ee2f2fb851348b3e208e393b74606173d9c2942e0d,1,0.0,0.0,0.0,1249.75,1249.75,,,,,,,,,,,
020fba5bffaea666d89c2fa2d7821d262e99a456f08cce04ce019a565ac6a509,1,0.0,0.0,0.0,44.94,44.94,,,,,,,,,,,
021fe69dbf502a6fa4371d85f952149b09fcee720d67d19d74bef4cdefe9449a,5,0.0,0.0,0.0,2059.4,411.88,,,,,,,,,,,
0225c5d1c27e9cba51f2aeb4cd522631ff9d02ab05343987d73ea5cd11fd01a9,1,0.0,0.0,0.0,457.32,457.32,,,,,,,,,,,
023677ea1e345761d7cc60eb10d59d0738834efb3f514019f5332365624c3d9a,1,0.0,0.0,0.0,1030.5,1030.5,,,,,,,,,,,
0251a7ab34d05aa321aa54bfdec9b6aec83a19dd6ef12c59b792c37424d83d72,1,0.0,0.0,0.0,1505.0,1505.0,0251a7ab34d05aa321aa54bfdec9b6aec83a19dd6ef12c59b792c37424d83d72,2212900.0,GO,9320000000000000.0,8430000000000000.0,960.0,1990000000000000.0,970.0,8059.0,981.0,988.0
0259469ae07feaf9eb942bc96a270f25171b211c6e9ed53c6d21e234fddc8b0a,1,2.0,2.0,1.0,4808.88,4808.88,0259469ae07feaf9eb942bc96a270f25171b211c6e9ed53c6d21e234fddc8b0a,4930202.0,RS,7790000000000000.0,9760000000000000.0,836.0,154930000000000.0,870.0,10771.0,978.0,988.0
025a48d9c8d4a2c968f87676d479ed8647ac6499c7cb21a936a4328a4dc8a975,1,0.0,0.0,0.0,7240.39,7240.39,,,,,,,,,,,
0276d9746ca146d6af6cd397ba7438f877736dddb185eea343f5c5a5ad4d16c8,2,6.0,6.0,1.0,422.94,211.47,0276d9746ca146d6af6cd397ba7438f877736dddb185eea343f5c5a5ad4d16c8,4632001.0,PR,9530000000000000.0,8880000000000000.0,760.0,159500.0,730.0,0.0,889.0,983.0
